Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"WALT: fast and accurate read mapping for bisulfite sequencing","The WALT tool significantly speeds up whole-genome bisulfite sequencing read mapping without sacrificing accuracy, making it a valuable tool for DNA methylation studies.","Haifeng Chen, Andrew D. Smith, Ting Chen",2016,62,"Whole-genome bisulfite sequencing (WGBS) has emerged as the gold-standard technique in genome-scale studies of DNA methylation. Mapping reads from WGBS requires unique considerations that make the process more time-consuming than in other sequencing applications. Typical WGBS data sets contain several hundred million reads, adding to this analysis challenge. We present the WALT tool for mapping WGBS reads. WALT uses a strategy of hashing periodic spaced seeds, which leads to significant speedup compared with the most efficient methods currently available. Although many existing WGBS mappers slow down with read length, WALT improves in speed. Importantly, these speed gains do not sacrifice accuracy.

Availability and implementation: WALT is available under the GPL v3 license, and downloadable from https://github.com/smithlabcode/walt.

Contact: andrewds@usc.edu or tingchen@usc.edu SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.

© The Author 2016. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","other","Bioinformatics","","10.1093/bioinformatics/btw490","https://consensus.app/papers/walt-fast-and-accurate-read-mapping-for-bisulfite-chen-smith/70ecebfc73325aea8f025464be836e77/"
"Highly efficient single-stranded DNA ligation technique improves low-input whole-genome bisulfite sequencing by post-bisulfite adaptor tagging","TACS ligation improves whole-genome bisulfite sequencing efficiency and quality, accelerating methylome analyses on the HiSeq X Ten and NovaSeq 6000 platforms.","F. Miura, Yukiko Shibata, Miki Miura, Yuhei Sangatsuda, O. Hisano, Hiromitsu Araki, Takashi Ito",2019,58,"Whole-genome bisulfite sequencing (WGBS) is the current gold standard of methylome analysis. Post-bisulfite adaptor tagging (PBAT) is an increasingly popular WGBS protocol because of high sensitivity and low bias. PBAT originally relied on two rounds of random priming for adaptor-tagging of single-stranded DNA (ssDNA) to attain high efficiency but at a cost of library insert length. To overcome this limitation, we developed terminal deoxyribonucleotidyl transferase (TdT)-assisted adenylate connector-mediated ssDNA (TACS) ligation as an alternative to random priming. In this method, TdT attaches adenylates to the 3'-end of input ssDNA, which are then utilized by RNA ligase as an efficient connector to the ssDNA adaptor. A protocol that uses TACS ligation instead of the second random priming step substantially increased the lengths of PBAT library fragments. Moreover, we devised a dual-library strategy that splits the input DNA to prepare two libraries with reciprocal adaptor polarity, combining them prior to sequencing. This strategy ensured an ideal base-color balance to eliminate the need for DNA spike-in for color compensation, further improving the throughput and quality of WGBS. Adopting the above strategies to the HiSeq X Ten and NovaSeq 6000 platforms, we established a cost-effective, high-quality WGBS, which should accelerate various methylome analyses.

© The Author(s) 2019. Published by Oxford University Press on behalf of Nucleic Acids Research.","bench experiment","Nucleic Acids Research","1","10.1093/nar/gkz435","https://consensus.app/papers/highly-efficient-singlestranded-dna-ligation-technique-miura-shibata/0961e25c30d95cd0942c6103996ba10b/"
"Charting a dynamic DNA methylation landscape of the human genome","Only 21.8% of autosomal CpGs show dynamic regulation in normal development, highlighting the inefficiency of whole-genome bisulphite sequencing.","Michael J. Ziller, H. Gu, F. Müller, Julie Donaghey, Linus T. Tsai, O. Kohlbacher, Phil L. de Jager, E. Rosen, D. Bennett, B. Bernstein, A. Gnirke, A. Meissner",2013,1311,"DNA methylation is a defining feature of mammalian cellular identity and is essential for normal development. Most cell types, except germ cells and pre-implantation embryos, display relatively stable DNA methylation patterns, with 70-80% of all CpGs being methylated. Despite recent advances, we still have a limited understanding of when, where and how many CpGs participate in genomic regulation. Here we report the in-depth analysis of 42 whole-genome bisulphite sequencing data sets across 30 diverse human cell and tissue types. We observe dynamic regulation for only 21.8% of autosomal CpGs within a normal developmental context, most of which are distal to transcription start sites. These dynamic CpGs co-localize with gene regulatory elements, particularly enhancers and transcription-factor-binding sites, which allow identification of key lineage-specific regulators. In addition, differentially methylated regions (DMRs) often contain single nucleotide polymorphisms associated with cell-type-related diseases as determined by genome-wide association studies. The results also highlight the general inefficiency of whole-genome bisulphite sequencing, as 70-80% of the sequencing reads across these data sets provided little or no relevant information about CpG methylation. To demonstrate further the utility of our DMR set, we use it to classify unknown samples and identify representative signature regions that recapitulate major DNA methylation dynamics. In summary, although in theory every CpG can change its methylation state, our results suggest that only a fraction does so as part of coordinated regulatory programs. Therefore, our selected DMRs can serve as a starting point to guide new, more effective reduced representation approaches to capture the most informative fraction of CpGs, as well as further pinpoint putative regulatory elements.","other","Nature","1","10.1038/nature12433","https://consensus.app/papers/charting-a-dynamic-dna-methylation-landscape-of-the-human-ziller-gu/dcde73ca6ca45dfba256986402afdf97/"
"Whole Genome Methylation Sequencing via Enzymatic Conversion (EM-seq): Protocol, Data Processing and Analysis","EM-seq is a new, bias-free, and efficient method for whole genome DNA methylation sequencing, offering higher library yields, uniform genomic coverage, and no sequence-specific artifacts.","Nelly N. Olova, Simon Andrews",2023,7,"Whole genome bisulfite sequencing (WGBS) has been the gold standard technique for base resolution analysis of DNA methylation for the last 15 years. It has been, however, associated with technical biases, which lead to overall overestimation of global and regional methylation values, and significant artifacts in extreme cytosine-rich DNA sequence contexts. Enzymatic conversion of cytosine is the newest approach, set to replace entirely the use of the damaging bisulfite conversion of DNA. The EM-seq technique utilizes TET2, T4-BGT, and APOBEC in a two-step conversion process, where the modified cytosines are first protected by oxidation and glucosylation, followed by deamination of all unmodified cytosines to uracil. As a result, EM-seq is degradation-free and bias-free, requires low DNA input, and produces high library yields with longer reads, little batch variation, less duplication, uniform genomic coverage, accurate methylation over a larger number of captured CpGs, and no sequence-specific artifacts.

© 2025. The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature.","other","bioRxiv","","10.1101/2023.10.07.561361","https://consensus.app/papers/whole-genome-methylation-sequencing-via-enzymatic-olova-andrews/414a8816ceb658d0876437aa1d009f49/"
"GEMBS – high through-put processing for DNA methylation data from Whole Genome Bisulfite Sequencing (WGBS)","GEMBS is a highly efficient and reliable bioinformatics pipeline for analyzing large whole genome bisulfite sequencing (WGBS) data sets, enabling accurate variant calling from WGBS data.","A. Merkel, Marcos Fernández-Callejo, E. Casals, Santiago Marco-Sola, Ronald P. Schuyler, I. Gut, S. Heath",2017,5,"DNA methylation is essential for normal embryogenesis and development in mammals. Currently, whole genome sequencing of bisulfite converted DNA (WGBS) represents the gold standard for studying DNA methylation at genomic level. Contrary to other techniques, it provides an unbiased view of the entire genome at single base pair resolution. However, in practice, due to its (until recently) comparatively high cost, its application for the analysis of large data sets (i.e. > 50 samples) has been lagging behind other more cost-efficient platforms, such as for example the Illumina microarrays (Infinium 27K, 450k and EPIC). Subsequently, despite the variety of software tools that exist for the analysis of WGBS, processing of large datasets still remains cumbersome. We present GEMBS, a bioinformatics pipeline specifically designed for the analysis of large WGBS data sets. GEMBS is based on two core modules: GEM3, a high performance read aligner, and BScall, a variant caller specifically for bisulfite sequencing data. Both components are embedded in a highly parallel workflow enabling highly efficient and reliable execution in a HPC environment. In this study, we benchmark GEMBS performance against other common analysis tools and show how GEMBS can be used for accurate variant calling from WGBS data.","other","bioRxiv","","10.1101/201988","https://consensus.app/papers/gembs-high-throughput-processing-for-dna-methylation-data-merkel-fernndez-callejo/b6a6bd18a8b85baf9ed452348f3eec5e/"
"DMR_Kmeans: Identifying Differentially Methylated Regions Based on kmeans Clustering and Read Methylation Haplotype Filtering","DMR_Kmeans accurately detects differentially methylated regions in bisulfite sequencing data, providing more accurate boundaries and insights into gene regulation and disease mechanisms.","Xiaoqing Peng, Wanxin Cui, Xiangyang Kong, Yuannan Huang, Ji Li",2023,3,"

Differentially methylated regions (DMRs), including tissue-specific DMRs
and disease-specific DMRs, can be used in revealing the mechanisms of gene regulation and screening
diseases. Up until now, many methods have been proposed to detect DMRs from bisulfite sequencing
data. In these methods, differentially methylated CpG sites and DMRs are usually identified
based on statistical tests or distribution models, which neglect the joint methylation statuses
provided in each read and result in inaccurate boundaries of DMRs.



Differentially methylated regions (DMRs), including the tissue-specific DMRs and disease-specific DMRs, can be used in revealing the mechanisms of gene regulation and screening diseases. Up until now, many methods have been proposed to detect DMRs from bisulfite sequencing data. In these methods, differentially methylated CpG sites and DMRs are usually identified based on statistical tests or distribution models, which neglects the joint methylation statuses provided in each read and results in inaccurate boundaries of DMRs.



In this paper, a method, named DMR_Kmeans, is proposed to detect DMRs based on kmeans
clustering and read methylation haplotype filtering. In DMR_Kmeans, for each CpG site, the
k-means algorithm is used to cluster the methylation levels from two groups, and the methylation
difference of the CpG is measured based on the different distributions in clusters. Methylation haplotypes
of reads are employed to extract the methylation patterns in a candidate region. Finally, DMRs
are identified based on the methylation differences and the methylation patterns in candidate regions.



Make use of the joint methylation statuses provided in each read and predict accurate boundaries of DMRs.



Comparing the performance of DMR_Kmeans and eight DMR detection methods on the
whole genome bisulfite sequencing data of six pairs of tissues, the results show that DMR_Kmeans
achieves higher Qn and Ql, and more overlapped promoters than other methods when given a certain
threshold of methylation difference greater than 0.4, which indicates that the DMRs predicted by
DMR_Kmeans with accurate boundaries contain less CpGs with small methylation differences than
those by other methods.



In this paper, a method, named DMR_Kmeans, is proposed to detect DMRs based on k-means clustering and read methylation haplotype filtering. In DMR_Kmeans, for each CpG site, the k-means algorithm is used to cluster the methylation levels from two groups, and the methylation difference of the CpG is measured based on the different distributions in clusters. Methylation haplotypes of reads are employed to extract the methylation patterns in a candidate region. Finally, DMRs are identified based on the methylation differences and the methylation patterns in candidate regions.



Furthermore, it suggests that DMR_Kmeans can provide a DMR set with high quality
for downstream analysis since the total length of DMRs predicted by DMR_Kmeans is longer and
the total number of CpG sites in the DMRs is greater than those of other methods.



Comparing the performance of DMR_Kmeans and eight DMR detection methods on the whole genome bisulfite sequencing data of six pairs of tissues, the results show that DMR_Kmeans achieves higher Qn and Ql than other methods when given a certain threshold of methylation difference greater than 0.4, which indicates that the DMRs predicted by DMR_Kmeans with accurate boundaries contain less CpGs with small methylation differences than those by other methods. Furthermore, it suggests that DMR_Kmeans can provide a DMR set with high quality for downstream analysis, since the total length of DMRs predicted by DMR_Kmeans is longer and the total number of CpG sites in the DMRs is greater than those of other methods.



None
","","Current Bioinformatics","3","10.2174/0115748936245495230925112419","https://consensus.app/papers/dmrkmeans-identifying-differentially-methylated-peng-cui/fb7eff5289ea55e89191f3cddb4b8f67/"
"Approaches for the Analysis and Interpretation of Whole-Genome Bisulfite Sequencing Data.","This paper outlines a step-by-step approach for analyzing and interpreting whole-genome bisulfite sequencing data, enabling the identification and quantification of DNA methylation patterns at single-base resolution.","Tim Stuart, S. Buckberry, Trung Nguyen, Ryan Lister",2024,0,"DNA methylation is a covalent modification of DNA that plays important roles in processes such as the regulation of gene expression, transcription factor binding, and suppression of transposable elements. The use of whole-genome bisulfite sequencing (WGBS) enables the genome-wide identification and quantification of DNA methylation patterns at single-base resolution and is the gold standard for the analysis of DNA methylation. However, the computational analysis of WGBS data can be particularly challenging, as many computationally intensive steps are required. Here, we outline step-by-step an approach for the analysis and interpretation of WGBS data. First, sequencing reads must be trimmed, quality-checked, and aligned to the genome. Second, DNA methylation levels are estimated at each cytosine position using the aligned sequence reads of the bisulfite-treated DNA. Third, regions of differential cytosine methylation between samples can be identified. Finally, these data need to be visualized and interpreted in the context of the biological question at hand.

© 2024. The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature.","other","Methods in molecular biology","","10.1007/978-1-0716-4051-7_20","https://consensus.app/papers/approaches-for-the-analysis-and-interpretation-of-stuart-buckberry/72c64b7903c258d79e14d0fd9d8e43c9/"
"A Bayesian hierarchical model to detect differentially methylated loci from single nucleotide resolution sequencing data","The proposed method improves detection of differentially methylated loci in single nucleotide resolution sequencing data, particularly when the number of replicates is low.","H. Feng, K. Conneely, Hao Wu",2014,488,"DNA methylation is an important epigenetic modification that has essential roles in cellular processes including gene regulation, development and disease and is widely dysregulated in most types of cancer. Recent advances in sequencing technology have enabled the measurement of DNA methylation at single nucleotide resolution through methods such as whole-genome bisulfite sequencing and reduced representation bisulfite sequencing. In DNA methylation studies, a key task is to identify differences under distinct biological contexts, for example, between tumor and normal tissue. A challenge in sequencing studies is that the number of biological replicates is often limited by the costs of sequencing. The small number of replicates leads to unstable variance estimation, which can reduce accuracy to detect differentially methylated loci (DML). Here we propose a novel statistical method to detect DML when comparing two treatment groups. The sequencing counts are described by a lognormal-beta-binomial hierarchical model, which provides a basis for information sharing across different CpG sites. A Wald test is developed for hypothesis testing at each CpG site. Simulation results show that the proposed method yields improved DML detection compared to existing methods, particularly when the number of replicates is low. The proposed method is implemented in the Bioconductor package DSS.","theoretical, modeling, or simulation study","Nucleic Acids Research","1","10.1093/nar/gku154","https://consensus.app/papers/a-bayesian-hierarchical-model-to-detect-differentially-feng-conneely/1061383854905103bfdca4d84f9fd68d/"
"Whole-genome bisulfite sequencing data analysis learning module on Google Cloud Platform","This study developed a learning module on Google Cloud Platform to facilitate interactive learning of whole-genome bisulfite sequencing (WGBS) data analysis, enhancing accessibility and adoption of cloud computing in epigenomic research.","Yujia Qin, Angela Maggio, Dale Hawkins, Laura Beaudry, Allen Kim, Daniel Pan, Ting Gong, Yuanyuan Fu, Hua Yang, Youping Deng",2024,4,"This study describes the development of a resource module that is part of a learning platform named 'NIGMS Sandbox for Cloud-based Learning' https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox at the beginning of this Supplement. This module is designed to facilitate interactive learning of whole-genome bisulfite sequencing (WGBS) data analysis utilizing cloud-based tools in Google Cloud Platform, such as Cloud Storage, Vertex AI notebooks and Google Batch. WGBS is a powerful technique that can provide comprehensive insights into DNA methylation patterns at single cytosine resolution, essential for understanding epigenetic regulation across the genome. The designed learning module first provides step-by-step tutorials that guide learners through two main stages of WGBS data analysis, preprocessing and the identification of differentially methylated regions. And then, it provides a streamlined workflow and demonstrates how to effectively use it for large datasets given the power of cloud infrastructure. The integration of these interconnected submodules progressively deepens the user's understanding of the WGBS analysis process along with the use of cloud resources. Through this module, we can enhance the accessibility and adoption of cloud computing in epigenomic research, speeding up the advancements in the related field and beyond. This manuscript describes the development of a resource module that is part of a learning platform named ``NIGMS Sandbox for Cloud-based Learning'' https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox [1] at the beginning of this Supplement. This module delivers learning materials on the analysis of bulk and single-cell ATAC-seq data in an interactive format that uses appropriate cloud resources for data access and analyses.

© The Author(s) 2024. Published by Oxford University Press.","other","Briefings in Bioinformatics","1","10.1093/bib/bbae236","https://consensus.app/papers/wholegenome-bisulfite-sequencing-data-analysis-learning-qin-maggio/c362b78f4b685c47a8fe4f07efde6e3e/"
"Identification of Differentially Methylated Sites with Weak Methylation Effects","The wavelet-based functional mixed model (WFMM) is more sensitive and specific in detecting weak differential methylation events compared to methylKit, especially in small sample sizes and phenotypes of interest.","Hong Tran, Hongxiao Zhu, Xiaowei Wu, Gunjune Kim, Christopher R. Clarke, Hailey Larose, D. Haak, S. Askew, J. Barney, J. Westwood, Liqing Zhang",2018,9,"Deoxyribonucleic acid (DNA) methylation is an epigenetic alteration crucial for regulating stress responses. Identifying large-scale DNA methylation at single nucleotide resolution is made possible by whole genome bisulfite sequencing. An essential task following the generation of bisulfite sequencing data is to detect differentially methylated cytosines (DMCs) among treatments. Most statistical methods for DMC detection do not consider the dependency of methylation patterns across the genome, thus possibly inflating type I error. Furthermore, small sample sizes and weak methylation effects among different phenotype categories make it difficult for these statistical methods to accurately detect DMCs. To address these issues, the wavelet-based functional mixed model (WFMM) was introduced to detect DMCs. To further examine the performance of WFMM in detecting weak differential methylation events, we used both simulated and empirical data and compare WFMM performance to a popular DMC detection tool methylKit. Analyses of simulated data that replicated the effects of the herbicide glyphosate on DNA methylation in Arabidopsis thaliana show that WFMM results in higher sensitivity and specificity in detecting DMCs compared to methylKit, especially when the methylation differences among phenotype groups are small. Moreover, the performance of WFMM is robust with respect to small sample sizes, making it particularly attractive considering the current high costs of bisulfite sequencing. Analysis of empirical Arabidopsis thaliana data under varying glyphosate dosages, and the analysis of monozygotic (MZ) twins who have different pain sensitivities-both datasets have weak methylation effects of <1%-show that WFMM can identify more relevant DMCs related to the phenotype of interest than methylKit. Differentially methylated regions (DMRs) are genomic regions with different DNA methylation status across biological samples. DMRs and DMCs are essentially the same concepts, with the only difference being how methylation information across the genome is summarized. If methylation levels are determined by grouping neighboring cytosine sites, then they are DMRs; if methylation levels are calculated based on single cytosines, they are DMCs.","theoretical, modeling, or simulation study","Genes","2","10.3390/genes9020075","https://consensus.app/papers/identification-of-differentially-methylated-sites-with-tran-zhu/02413d29d2d659b79705bafc489ceec6/"
"Software updates in the Illumina HiSeq platform affect whole-genome bisulfite sequencing","Software updates in the Illumina HiSeq platform can affect whole-genome bisulfite sequencing results, with HCS v2.0.5 being the most suitable for accurate CpG methylation analysis.","Hidehiro Toh, K. Shirane, F. Miura, Naoki Kubo, K. Ichiyanagi, K. Hayashi, M. Saitou, M. Suyama, Takashi Ito, H. Sasaki",2017,32,"Background: Methylation of cytosine in genomic DNA is a well-characterized epigenetic modification involved in many cellular processes and diseases. Whole-genome bisulfite sequencing (WGBS), such as MethylC-seq and post-bisulfite adaptor tagging sequencing (PBAT-seq), uses the power of high-throughput DNA sequencers and provides genome-wide DNA methylation profiles at single-base resolution. However, the accuracy and consistency of WGBS outputs in relation to the operating conditions of high-throughput sequencers have not been explored.

Results: We have used the Illumina HiSeq platform for our PBAT-based WGBS, and found that different versions of HiSeq Control Software (HCS) and Real-Time Analysis (RTA) installed on the system provided different global CpG methylation levels (approximately 5% overall difference) for the same libraries. This problem was reproduced multiple times with different WGBS libraries and likely to be associated with the low sequence diversity of bisulfite-converted DNA. We found that HCS was the major determinant in the observed differences. To determine which version of HCS is most suitable for WGBS, we used substrates with predetermined CpG methylation levels, and found that HCS v2.0.5 is the best among the examined versions. HCS v2.0.12 showed the poorest performance and provided artificially lower CpG methylation levels when 5-methylcytosine is read as guanine (first read of PBAT-seq and second read of MethylC-seq). In addition, paired-end sequencing of low diversity libraries using HCS v2.2.38 or the latest HCS v2.2.58 was greatly affected by cluster densities.

Conclusions: Software updates in the Illumina HiSeq platform can affect the outputs from low-diversity sequencing libraries such as WGBS libraries. More recent versions are not necessarily the better, and HCS v2.0.5 is currently the best for WGBS among the examined HCS versions. Thus, together with other experimental conditions, special care has to be taken on this point when CpG methylation levels are to be compared between different samples by WGBS.","bench experiment","BMC Genomics","1","10.1186/s12864-016-3392-9","https://consensus.app/papers/software-updates-in-the-illumina-hiseq-platform-affect-toh-shirane/ec78c638e3ad5a568badbb1f365db987/"
"An integrated package for bisulfite DNA methylation data analysis with Indel-sensitive mapping","BatMeth2 improves DNA methylation calling and alignment accuracy in bisulfite sequencing data, facilitating the study of DNA methylation mechanisms in development and disease.","Qiangwei Zhou, Jing-Quan Lim, W. Sung, Guoliang Li",2019,96,"Background: DNA methylation plays crucial roles in most eukaryotic organisms. Bisulfite sequencing (BS-Seq) is a sequencing approach that provides quantitative cytosine methylation levels in genome-wide scope and single-base resolution. However, genomic variations such as insertions and deletions (indels) affect methylation calling, and the alignment of reads near/across indels becomes inaccurate in the presence of polymorphisms. Hence, the simultaneous detection of DNA methylation and indels is important for exploring the mechanisms of functional regulation in organisms.

Results: These problems motivated us to develop the algorithm BatMeth2, which can align BS reads with high accuracy while allowing for variable-length indels with respect to the reference genome. The results from simulated and real bisulfite DNA methylation data demonstrated that our proposed method increases alignment accuracy. Additionally, BatMeth2 can calculate the methylation levels of individual loci, genomic regions or functional regions such as genes/transposable elements. Additional programs were also developed to provide methylation data annotation, visualization, and differentially methylated cytosine/region (DMC/DMR) detection. The whole package provides new tools and will benefit bisulfite data analysis.

Conclusion: BatMeth2 improves DNA methylation calling, particularly for regions close to indels. It is an autorun package and easy to use. In addition, a DNA methylation visualization program and a differential analysis program are provided in BatMeth2. We believe that BatMeth2 will facilitate the study of the mechanisms of DNA methylation in development and disease. BatMeth2 is an open source software program and is available on GitHub ( https://github.com/GuoliangLi-HZAU/BatMeth2 /).","other","BMC Bioinformatics","1","10.1186/s12859-018-2593-4","https://consensus.app/papers/an-integrated-package-for-bisulfite-dna-methylation-data-zhou-lim/513fb46221bc549da0369b98ad2d1bad/"
"Characterizing the properties of bisulfite sequencing data: maximizing power and sensitivity to identify between-group differences in DNA methylation","POWEREDBiSeq tool helps optimize power and sensitivity in bisulfite sequencing data, improving reproducibility and enhancing the power to detect DNA methylation differences between groups.","Dorothea Seiler Vellame, I. Castanho, Aisha Dahir, J. Mill, E. Hannon",2021,20,"Background: The combination of sodium bisulfite treatment with highly-parallel sequencing is a common method for quantifying DNA methylation across the genome. The power to detect between-group differences in DNA methylation using bisulfite-sequencing approaches is influenced by both experimental (e.g. read depth, missing data and sample size) and biological (e.g. mean level of DNA methylation and difference between groups) parameters. There is, however, no consensus about the optimal thresholds for filtering bisulfite sequencing data with implications for the reproducibility of findings in epigenetic epidemiology.

Results: We used a large reduced representation bisulfite sequencing (RRBS) dataset to assess the distribution of read depth across DNA methylation sites and the extent of missing data. To investigate how various study variables influence power to identify DNA methylation differences between groups, we developed a framework for simulating bisulfite sequencing data. As expected, sequencing read depth, group size, and the magnitude of DNA methylation difference between groups all impacted upon statistical power. The influence on power was not dependent on one specific parameter, but reflected the combination of study-specific variables. As a resource to the community, we have developed a tool, POWEREDBiSeq, which utilizes our simulation framework to predict study-specific power for the identification of DNAm differences between groups, taking into account user-defined read depth filtering parameters and the minimum sample size per group.

Conclusions: Our data-driven approach highlights the importance of filtering bisulfite-sequencing data by minimum read depth and illustrates how the choice of threshold is influenced by the specific study design and the expected differences between groups being compared. The POWEREDBiSeq tool, which can be applied to different types of bisulfite sequencing data (e.g. RRBS, whole genome bisulfite sequencing (WGBS), targeted bisulfite sequencing and amplicon-based bisulfite sequencing), can help users identify the level of data filtering needed to optimize power and aims to improve the reproducibility of bisulfite sequencing studies.","theoretical, modeling, or simulation study","BMC Genomics","1","10.1186/s12864-021-07721-z","https://consensus.app/papers/characterizing-the-properties-of-bisulfite-sequencing-vellame-castanho/1eefeee4b37c5aaca820e2e674dcb9de/"
"MethylC-analyzer: a comprehensive downstream pipeline for the analysis of genome-wide DNA methylation","MethylC-analyzer is a Python- and R-based program that analyzes and visualizes genome-wide DNA methylation data, enhancing gene regulation and plant development in both plants and humans.","Rita Jui-Hsien Lu, Pei-Yu Lin, M. Yen, Bing-Heng Wu, Pao-Yang Chen",2023,6,"DNA methylation is a crucial epigenetic modification involved in multiple biological processes and diseases. Current approaches for measuring genome-wide DNA methylation via bisulfite sequencing (BS-seq) include whole-genome bisulfite sequencing (WGBS), reduced representation bisulfite sequencing (RRBS), and enzymatic methyl-seq (EM-seq). The computational analysis tools available for BS-seq data include customized aligners for mapping bisulfite-converted reads and computational pipelines for downstream data analysis. Current post-alignment methylation tools are specialized for the interpretation of CG methylation, which is known to dominate mammalian genomes, however, non-CG methylation (CHG and CHH, where H refers to A, C, or T) is commonly observed in plants and fungi and is closely associated with gene regulation, transposon silencing, and plant development. Thus, we have developed a MethylC-analyzer to analyze and visualize post-alignment WGBS, RRBS, and EM-seq data focusing on CG. The tool is able to also analyze non-CG sites to enhance deciphering genomes of plants and fungi. By processing aligned data and gene location files, MethylC-analyzer generates a genome-wide view of methylation levels and methylation in user-specified genomic regions. The meta-plot, for example, allows the investigation of DNA methylation within specific genomic elements. Moreover, our tool identifies differentially methylated regions (DMRs) and investigates the enrichment of genomic features associated with variable methylation. MethylC-analyzer functionality is not limited to specific genomes, and we demonstrated its performance on both plant and human BS-seq data. MethylC-analyzer is a Python- and R-based program designed to perform comprehensive downstream analyses of methylation data, providing an intuitive analysis platform for scientists unfamiliar with DNA methylation analysis. It is available as either a standalone version for command-line uses or a graphical user interface (GUI) and is publicly accessible at https://github.com/RitataLU/MethylC-analyzer .

© 2023. The Author(s).","other","Botanical Studies","1","10.1186/s40529-022-00366-5","https://consensus.app/papers/methylcanalyzer-a-comprehensive-downstream-pipeline-for-lu-lin/eca00ebb34c95ff7929fe40484001227/"
"swDMR: A Sliding Window Approach to Identify Differentially Methylated Regions Based on Whole Genome Bisulfite Sequencing","swDMR is a flexible tool for identifying differentially methylated regions in whole genome bisulfite sequencing data, aiding in understanding epigenetic regulation.","Zhen Wang, Xianfeng Li, Yi Jiang, Qianzhi Shao, Qi Liu, Bingyu Chen, Dongsheng Huang",2015,53,"DNA methylation is a widespread epigenetic modification that plays an essential role in gene expression through transcriptional regulation and chromatin remodeling. The emergence of whole genome bisulfite sequencing (WGBS) represents an important milestone in the detection of DNA methylation. Characterization of differential methylated regions (DMRs) is fundamental as well for further functional analysis. In this study, we present swDMR (http://sourceforge.net/projects/swDMR/) for the comprehensive analysis of DMRs from whole genome methylation profiles by a sliding window approach. It is an integrated tool designed for WGBS data, which not only implements accessible statistical methods to perform hypothesis test adapted to two or more samples without replicates, but false discovery rate was also controlled by multiple test correction. Downstream analysis tools were also provided, including cluster, annotation and visualization modules. In summary, based on WGBS data, swDMR can produce abundant information of differential methylated regions. As a convenient and flexible tool, we believe swDMR will bring us closer to unveil the potential functional regions involved in epigenetic regulation.","","PLoS ONE","1","10.1371/journal.pone.0132866","https://consensus.app/papers/swdmr-a-sliding-window-approach-to-identify-wang-li/9d2538290e62567ebc930fa2041e6047/"
"OMIC-06. MOLECULAR SUBGROUPING OF MEDULLOBLASTOMA VIA LOW-DEPTH WHOLE GENOME BISULFITE SEQUENCING","Low-depth Whole Genome Bisulfite Sequencing (WGBS) effectively subgroups medulloblastoma at a comparable cost to array-based methods, providing a platform-independent alternative for routine clinical adoption.","D. Thompson, J. Castle, D. Hicks, Steve Clifford, E. Schwalbe",2021,0,"Abstract Introduction International consensus recognises four molecular subgroups of medulloblastoma, each with distinct molecular features and clinical outcomes. The current gold-standard for subgroup assignment is DNA methylation microarray. There is an unmet need to develop platform-independent subgrouping assays which are both non-proprietary and compatible with rapidly-expanding WGS capacity in healthcare. Whole Genome Bisulfite Sequencing (WGBS) enables the assessment of genome-wide methylation status at single-base resolution. Previously, WGBS adoption has been limited by cost and sample quality/quantity requirements. Its application for routine detection of medulloblastoma subgroups has not previously been reported. Methodology Two datasets were utilised; 36 newly-sequenced low-depth (10x coverage) and 34 publicly-available high-depth (30x) WGBS medulloblastomas, all with matched DNA methylation microarray data. We compared platform concordance and identified molecular subgroups. Machine-learning WGBS-based subgroup classifiers were optimised and compared between platforms. Aneuploidy and mutation detection using WGBS was optimised and compared to microarray-derived estimates where possible. Finally, comprehensive subgroup-specific DNA methylation signatures were identified. Results We optimised a pipeline for processing, quality control and analysis of low-depth WGBS data, suitable for routine molecular subgrouping and aneuploidy assessment. We demonstrated the suitability of fresh-frozen and FFPE DNA for WGBS, and, using downsampling, showed that subgroup calling is robust at coverages as low as 2x. We identified differentially methylated regions that, due to poor representation, could not be detected using methylation microarrays. Molecular subgroups of medulloblastoma assigned using WGBS were concordant with array-based definitions, and WGBS-derived classifier performance measures exceeded microarray-derived classifiers. Conclusion We describe a platform-independent assay for molecular subgrouping of medulloblastoma using WGBS. It performs equivalently to current array-based methods at comparable cost ($405 vs $596) and provides a proof-of-concept for its routine clinical adoption using standard WGS technology. Finally, the full methylome enabled elucidation of additional biological heterogeneity that has hitherto been inaccessible.","cross-sectional study","Neuro-Oncology","1","10.1093/neuonc/noab090.153","https://consensus.app/papers/omic06-molecular-subgrouping-of-medulloblastoma-via-thompson-castle/626feada9eea5c97a565cd5584f02bfa/"
